RPM,MAP,FGP,MAF
1150.5,92,30020,14.21
1150.75,92,30050,14.13
1150.75,92,30240,14.22
1150.25,92,30150,13.7
1149.5,92,30270,14.16
1147.75,92,30210,14.18
1147.5,92,28800,14.25
1115.25,92,29020,13.62
1116.5,91,29020,13.73
1115,91,28970,13.46
1116,91,29200,13.43
1117.25,91,28990,13.32
1115,91,29260,13.7
1113.25,91,29140,13.5
1115.75,91,29200,13.61
1113.5,91,29170,13.56
1115,91,29170,13.3
1114.75,91,29090,13.75
1116,91,29020,13.75
1113,91,29220,13.7
1111.25,91,29050,13.55
1100,91,25360,13.28
911.25,90,23680,10.5
909.75,89,24510,10.35
854.75,88,26780,9.75
870,88,24880,9.86
867.75,87,23850,9.63
870.5,87,26480,10
876.25,87,23800,9.76
875.25,87,26090,9.81
876.25,87,24140,10.19
875.75,87,25340,10.01
878.5,87,24400,10.03
875.75,87,24140,9.83
876.75,87,25600,9.82
881.25,87,23650,9.83
880.75,87,25560,9.96
878.75,87,25850,9.96
881,87,23970,9.96
879.75,87,26190,9.94
878.75,87,24460,9.97
873,87,25340,10.05
881.75,87,26210,10.16
881.5,87,23770,10.02
878.75,87,25850,9.95
1241.25,87,40310,15
1571.25,93,38520,20.58
1652.25,99,40720,21.86
1710.75,103,40930,23.4
1757.75,107,41310,24.32
1818,108,42290,24.46
1894,107,44180,25.49
1954.75,107,43900,25.85
1974.75,109,44460,26.69
1970,111,44250,27.41
1968.25,112,44360,27.34
1968.5,112,43870,26.98
1970.25,113,43910,27.47
1979.75,113,45960,27.05
1994.5,114,45950,28.97
2002.75,115,45970,28.93
2003.75,115,45930,28.65
2001.5,116,46600,28.23
2013,116,47970,28.38
2030.25,117,48210,29.09
2034.5,118,49770,29.51
2040,120,49950,30.37
2038.75,121,49270,30.15
2037.75,121,50710,30.46
2044.5,122,50300,30.52
2101.25,124,55400,33.04
2177.5,127,57170,33.22
2226.5,129,57610,34.78
2246.25,131,57810,34.68
2258.5,133,59620,37.01
2295,134,60710,36.56
2334.75,136,62670,38.1
2447.25,127,65990,34.92
2573,116,63380,37.04
2470.5,129,55590,38.91
2294.25,132,55020,35.92
2228,132,58320,35.21
2285,133,61520,36.85
2359.5,136,64000,39.04
2553.25,124,56360,35.34
2579.25,111,58200,34.69
2574,111,57710,35.52
2563,110,57280,33.97
2510,113,53490,34.99
2335.5,122,52050,34.85
2268,123,52390,33.8
2209,124,52970,32.95
2178.75,126,53270,33.35
2172.5,127,56460,33.6
2443.75,127,42580,36.24
2531.25,123,63710,38.05
2571,118,59300,34.9
2575.5,112,58540,33.57
2576,110,58400,34.5
2578.75,109,57710,33.45
2576,108,54960,33.16
2421.25,119,52240,35.32
2346,121,53920,34.93
2269.5,124,50630,34.3
2181.25,125,49100,33.27
2155.75,122,49100,31.82
2143,121,48900,31.67
2127.25,121,48100,30.93
2114.75,120,47370,30.94
2107.5,120,47360,29.91
2106,119,46840,30.5
2096.75,118,46210,30.24
2085.5,117,44910,30.05
1972.5,114,42230,26.41
1990,112,41040,27.23
1967.5,113,46240,26.57
2034.75,114,49960,29.04
2078.75,118,52030,30.01
2124,122,56360,32.4
2200.75,126,51390,33.4
2119.75,127,48860,32.71
2110.5,123,48710,30.98
2105,121,47880,31.17
2098,121,47750,30.55
2088,120,46350,30.22
2077.25,118,45600,29.95
2045.25,117,43270,28.98
2017.5,115,42380,28.51
1982.25,113,40920,26.56
1949,111,40590,26.55
1917.5,110,39180,25.73
1875.5,108,38060,24.92
1824.5,107,36900,23.98
1760.5,105,36180,22.95
1701.75,104,35820,22.15
1646.5,103,35690,21.3
1596.75,102,35160,21.1
1560,102,35250,20.24
1532,101,35080,20.22
1509.25,100,34940,19.75
1490.5,100,34880,19.35
1462.75,100,34350,19.08
1427.75,99,33960,18.57
1403.5,99,33810,18.53
1398,98,33810,18.12
1393.25,98,33840,18
1394,98,33370,18.24
1364.25,98,31680,17.2
1310.25,97,31730,16.47
1274,96,31650,15.78
1241.75,96,30360,15.6
1182,94,29050,14.77
1121,93,28470,13.57
1102.25,92,28750,13.12
1102.5,92,28710,13.36
1055.25,91,24960,12.64
1023.75,91,24870,12.27
967.25,90,25780,11.02
874.5,89,23650,9.64
862.5,88,26000,9.87
864.75,88,24340,9.32
872.5,87,28410,9.92
1234.25,88,32630,14.91
1105.5,91,26580,13.05
861,90,24100,9.7
964.75,89,24410,11.37
1060.25,89,26640,12.23
1001.75,89,24040,11.75
987.25,89,24380,11.26
934.5,89,24240,10.66
955.5,89,23990,11
1078.25,89,29410,12.55
1081,89,27190,12.7
1082.75,90,27250,12.97
1111,90,28000,13.34
1173.75,91,29810,14.41
1196.75,92,30020,14.8
1201,93,30080,14.75
1217.75,93,32280,14.84
1238,93,32070,15.28
1290.75,94,32760,16.26
1315,95,32500,16.73
1333.75,96,33150,17.18
1349.5,97,33070,17.49
1369,97,33050,18.06
1378.25,98,35280,17.69
1407.25,98,35220,18.08
1421,99,34490,18.78
1425.25,99,34470,18.89
1422.25,99,35640,18.03
1449.25,99,35960,18.81
1478.25,100,35690,19.5
1482,100,35880,19.51
1481,100,34590,19.29
1499.25,101,35570,19.66
1526.25,101,37120,19.95
1584.5,102,38670,20.89
1631.75,103,38930,21.85
1664.5,104,38780,22.43
1688.25,105,38910,22.69
1717.75,106,38660,22.87
1730.25,107,39360,23.4
1744.5,107,40490,23.26
1778.5,108,40380,23.32
1813,109,41220,24.51
1848,110,41770,24.28
1873.25,111,42630,25.65
1895.5,111,42990,25.67
1914.5,112,43850,26.34
1927.5,113,43760,26.61
1941.5,113,44230,27.02
1953,114,44710,27.17
1964.25,114,44090,28.48
1972.25,114,45230,27.39
1981.25,115,45680,28.01
1983,115,45500,27.61
1990.75,115,46390,28.11
1995.75,116,42060,28.21
1971.25,114,45210,26.83
1986.25,114,44530,27.56
2005.5,115,46840,28.35
2014.75,116,47200,29.17
2027.75,117,49140,29.21
2042.25,118,49240,29.67
2069.25,120,49260,30.48
2062.5,121,49040,30.7
2103.75,123,50510,31.5
2125,123,58250,32.38
2137.75,124,50900,31.97
2194.75,122,53760,31.62
2349.25,115,53490,32.36
2379.25,112,53000,31.42
2322,113,46290,32.9
2198.75,115,50950,30.2
2174.75,117,52000,31.73
2174.25,121,54270,32.65
2231,128,65060,36.83
2477.75,118,52670,32.86
2404,120,51320,36.34
2264.5,122,49530,33.24
2198.5,120,50560,31.86
2180.5,121,53990,31.5
2222,125,63570,34.19
2507.75,121,60050,35.03
2577.75,116,56380,34.69
2439,121,52400,35.92
2321.25,124,53310,34.43
2272.5,124,53660,33.11
2234.25,126,54320,34.12
2214.25,128,57180,34.17
2250.5,131,59290,35.43
2289.5,133,61220,36.59
2333.25,136,62670,37.43
2367.25,138,63160,39.01
2381.25,139,63230,37.26
2386.5,141,63890,39.13
2559.75,125,55600,34.3
2534.5,121,57560,37.12
2395.5,128,55490,35.67
2296.25,130,53950,35.39
2238.75,130,57890,34.63
2289.5,133,63100,36.97
2546.25,122,57400,35.37
2576.5,113,58860,35.16
2576,111,58760,34.41
2566.25,110,57280,33.4
2563.5,108,56180,33.12
2414.5,120,55780,35.45
2353,125,55450,35.46
2286,129,56600,36.3
2284,132,59050,35.6
2310.75,135,61860,36.97
2349.25,137,62100,38.79
2430.75,130,66640,35.63
2571.25,118,63680,37.13
2528.5,132,65970,40.71
2579,124,58290,35.65
2581.25,112,58340,33.65
2572.5,112,59290,34.14
2578.5,111,57760,33.98
2584.5,108,59170,33.01
2442.5,120,53370,35.94
2335.5,123,52000,34.5
2251.5,124,50710,32.36
2187.25,123,49750,32.35
2155.25,122,49060,31.61
2131.5,122,47880,31.21
2113.75,121,47320,30.36
2116,119,47420,30.36
2090.25,118,40650,29.14
1963.25,112,38960,25.66
1878.75,108,37890,24.1
1812,107,36320,23.31
1713.5,104,35350,22.08
1636,103,34890,21.2
1568.75,102,34540,20.31
1507.25,101,34370,19.46
1456,100,34330,18.92
1440.25,99,34420,18.57
1426.75,99,33860,18.13
1385,98,31370,17.65
1283.25,97,30930,15.96
1222,96,29930,15.03
1150,95,28470,14
1102.75,93,28560,12.84
1136.5,92,29690,13.64
1136.5,92,36000,13.47
1475.25,94,40410,19.15
1527.75,98,33370,19.77
1409.5,98,31420,17.83
1284,97,30930,16.26
1211,96,29470,15.1
1141.5,94,28220,13.67
1101.5,93,28560,12.77
1100.25,92,28710,13.15
1099.5,92,28690,13.16
1096.75,91,28470,13.17
1094.75,91,28510,13.25
1098,91,28480,12.75
1099.75,91,24600,12.62
852.5,90,23750,9.71
860,89,25560,9.43
867.75,88,25850,9.65
868.25,88,23870,9.6
872,87,26210,9.79
876.25,87,23650,9.77
874.5,87,26100,9.69
874.75,87,23950,9.84
875.5,87,25510,9.69
878,87,25240,9.7
880.75,87,24260,9.84
875.5,87,26060,9.72
1001.5,87,27650,11.37
1223.5,89,33940,14.55
1312,91,33760,16.39
1351.75,94,29710,16.85
1106.5,95,24440,12.82
854.75,92,25420,9.47
946.5,90,23850,10.46
1029.25,89,27560,11.65
1053.5,90,26480,12
1077.25,90,27900,12.87
1126.5,90,30850,13.21
1174.75,91,32230,14.2
1222.25,92,33000,15.15
1253.5,93,34230,15.55
1276.25,94,32220,15.88
1288.25,95,33150,16.11
1297.5,95,32650,16.39
1298.5,96,32370,16.52
1298.5,96,32200,16.25
1298.75,96,34140,16.43
1332.75,96,36610,17.11
1416.25,98,36580,18.26
1452,99,36250,19.01
1463,100,35250,18.77
1468,100,35160,19.08
1470.75,100,35830,19.16
1475,100,35410,19.31
1495.25,101,36060,20.02
1521.75,101,35940,19.94
1536.5,102,36490,20.17
1553.25,102,37180,20.35
1582.5,103,37520,20.9
1621.5,103,38230,21.52
1646,104,38930,21.64
1667,105,38790,21.91
1680,105,37820,21.92
1705.25,106,40280,22.58
1735.5,107,39820,23.09
1768,108,41250,23.6
1799,109,41250,24.23
1823,109,41450,24.25
1837.25,110,41560,24.84
1849,110,41990,24.45
1862.25,110,41860,25.3
1873.75,111,41480,25.28
1887.75,111,42410,26.03
1913,112,43480,26.33
1932.75,112,43730,26.37
1945.5,113,43730,26.43
1953.25,113,44180,26.78
1959.5,114,43670,26.72
1963.25,114,45090,27.67
1977.75,114,44410,27.55
1979.75,115,45160,27.7
1982.5,115,44480,27.31
1985.5,115,45140,27.5
1988.25,115,45530,28.29
1995.5,116,45510,28.78
2008.25,116,47900,27.85
2020.25,118,47560,28.8
2026.25,119,49920,29.7
2032.5,121,63650,30.59
2180.5,112,49290,28.61
2153.25,112,44240,28.98
2078.75,112,45600,27.68
2069.25,113,42060,29.06
2027.5,112,46840,28.02
2068,115,49380,29.35
2095.75,118,51050,30.08
2111.5,121,51330,31.64
2125,123,52970,31.3
2136.25,125,55540,33.24
2208.25,128,58780,34
2268.5,131,60170,35.7
2261.75,132,52300,35.57
2170.75,130,51200,33.54
2165.5,126,52920,32.13
2153.25,126,53980,33.4
2181,128,58640,33.2
2247,130,59470,35.44
2287.75,133,60820,35.92
2323.5,135,60780,36.96
2341.75,137,61080,36.84
2342.75,138,61090,38
2348.5,138,63450,37.81
2537.5,122,60300,33.68
2575.75,113,58250,33.7
2558,110,56310,32.45
2439.75,118,53390,34.83
2325.5,123,52510,33.8
2270.75,124,52640,33.32
2249.25,125,52920,32.91
2220.5,126,53190,33.96
2190,127,52660,32.95
